YYMMMDD __east(m) _north(m) ____up(m)
16MAY29 -0.945438 0.337599 0.231765
16MAY30 -0.943374 0.336582 0.234407
16MAY31 -0.946733 0.337070 0.235304
16JUN01 -0.947630 0.337243 0.235136
16JUN02 -0.947097 0.337424 0.225634
16JUN03 -0.948632 0.337315 0.231122
16JUN04 -0.944994 0.337629 0.238150
16JUN05 -0.946725 0.338067 0.229649
16JUN06 -0.945861 0.339173 0.230789
16JUN07 -0.948310 0.337886 0.230969
16JUN08 -0.946550 0.336937 0.232026
16JUN09 -0.946944 0.337520 0.229912
16JUN10 -0.947592 0.337995 0.229645
16JUN11 -0.946772 0.336352 0.225845
16JUN12 -0.949418 0.339156 0.221576
16JUN13 -0.948812 0.337791 0.238130
16JUN14 -0.950475 0.336024 0.232226
16JUN15 -0.950315 0.338867 0.227655
16JUN16 -0.949039 0.338661 0.229082
16JUN17 -0.946709 0.338032 0.232464
16JUN18 -0.945224 0.336047 0.226982
16JUN19 -0.946301 0.337325 0.235374
16JUN20 -0.946435 0.335852 0.237074
16JUN21 -0.945962 0.337317 0.229594
16JUN22 -0.945716 0.338263 0.237222
16JUN23 -0.948232 0.336505 0.234643
16JUN24 -0.950527 0.336975 0.223707
16JUN25 -0.946758 0.336831 0.224134
16JUN26 -0.947604 0.338942 0.234190
16JUN27 -0.950087 0.336675 0.233598
16JUN28 -0.949587 0.337019 0.233970
16JUN29 -0.952591 0.334759 0.243884
16JUN30 -0.950903 0.338533 0.228313
16JUL01 -0.949735 0.337123 0.239268
16JUL02 -0.950314 0.335847 0.231168
16JUL03 -0.948789 0.337367 0.230966
16JUL04 -0.947477 0.336863 0.231563
16JUL05 -0.946800 0.336575 0.235727
16JUL06 -0.949410 0.335974 0.237834
16JUL07 -0.947299 0.335468 0.241370
16JUL08 -0.950673 0.336336 0.222546
16JUL09 -0.950939 0.339253 0.230578
16JUL10 -0.945899 0.336022 0.226335
16JUL11 -0.945849 0.338919 0.217780
16JUL12 -0.941683 0.339327 0.228501
16JUL13 -0.948321 0.335985 0.221113
16JUL14 -0.947997 0.335013 0.233940
16JUL15 -0.948819 0.335261 0.226347
16JUL16 -0.950920 0.336165 0.236796
16JUL17 -0.948213 0.334429 0.230089
16JUL18 -0.949342 0.333906 0.232240
16JUL19 -0.949250 0.336037 0.228100
16JUL20 -0.950717 0.336988 0.225354
16JUL21 -0.948237 0.335347 0.228075
16JUL22 -0.932420 0.336912 0.213602
16JUL25 -0.948709 0.335346 0.227057
16JUL26 -0.947387 0.335105 0.230663
16JUL27 -0.952475 0.336078 0.226874
16JUL28 -0.949251 0.335678 0.235522
16JUL29 -0.950058 0.334115 0.233082
16JUL30 -0.949599 0.334667 0.233718
16JUL31 -0.947430 0.335567 0.226356
16AUG01 -0.948410 0.336106 0.230079
16AUG02 -0.951030 0.335059 0.219717
16AUG03 -0.949408 0.337499 0.222583
16AUG04 -0.949122 0.335085 0.226359
16AUG05 -0.952744 0.334860 0.225026
16AUG06 -0.950901 0.335053 0.225445
16AUG07 -0.949969 0.336657 0.218872
16AUG08 -0.949529 0.337075 0.218713
16AUG09 -0.948642 0.336396 0.219227
16AUG10 -0.951414 0.338847 0.216821
16AUG11 -0.947846 0.334914 0.215292
16AUG12 -0.949024 0.335114 0.229609
16AUG13 -0.950544 0.336096 0.230632
16AUG14 -0.949297 0.337703 0.234567
16AUG15 -0.940796 0.340217 0.221181
16AUG16 -0.949873 0.337491 0.221208
16AUG17 -0.947985 0.335892 0.225325
16AUG18 -0.948743 0.336017 0.230278
16AUG19 -0.947055 0.334604 0.226273
16AUG20 -0.947492 0.337604 0.215913
16AUG21 -0.949622 0.334912 0.224778
16AUG22 -0.948763 0.333926 0.220072
16AUG24 -0.947272 0.335828 0.233301
16AUG25 -0.945163 0.332154 0.236857
16AUG26 -0.947253 0.334493 0.227329
16AUG27 -0.945353 0.335400 0.219059
16AUG29 -0.946600 0.335809 0.219743
16AUG30 -0.946220 0.336898 0.225148
16AUG31 -0.945103 0.335908 0.220653
16SEP01 -0.946814 0.335101 0.222224
16SEP02 -0.948122 0.334421 0.224665
16SEP03 -0.947962 0.335059 0.222559
16SEP04 -0.945908 0.335462 0.220328
16SEP05 -0.949395 0.336388 0.224128
16SEP06 -0.947672 0.336566 0.223888
16SEP07 -0.946156 0.334694 0.227935
16SEP08 -0.946309 0.335656 0.226120
16SEP09 -0.948039 0.332879 0.215879
16SEP10 -0.945359 0.333351 0.218151
16SEP11 -0.944183 0.335717 0.225415
16SEP12 -0.944705 0.334075 0.228073
16SEP13 -0.943580 0.337384 0.216833
16SEP14 -0.946783 0.336390 0.223807
16SEP15 -0.946204 0.336755 0.216742
16SEP16 -0.942249 0.335204 0.217159
16SEP17 -0.946023 0.335886 0.221716
16SEP18 -0.943359 0.334539 0.227547
16SEP19 -0.945383 0.337539 0.225162
16SEP20 -0.943799 0.335636 0.231347
16SEP21 -0.941392 0.336574 0.227140
16SEP22 -0.943863 0.337231 0.219655
16SEP23 -0.942480 0.337789 0.221625
16SEP24 -0.946608 0.336467 0.219266
16SEP25 -0.937299 0.334889 0.230950
16SEP26 -0.939339 0.335001 0.214966
16SEP27 -0.941366 0.332865 0.226399
16SEP28 -0.948416 0.338078 0.225318
16SEP29 -0.945431 0.335986 0.217262
16SEP30 -0.946227 0.335567 0.224579
16OCT01 -0.947633 0.335633 0.222348
16OCT02 -0.950776 0.336624 0.228537
16OCT03 -0.947783 0.337300 0.232857
16OCT04 -0.945205 0.335178 0.230211
16OCT05 -0.940292 0.334755 0.223653
16OCT06 -0.941678 0.339271 0.220806
16OCT07 -0.946033 0.335348 0.230056
16OCT08 -0.945420 0.336131 0.225931
16OCT09 -0.944296 0.335982 0.224628
16OCT10 -0.944609 0.334863 0.226710
16OCT11 -0.945700 0.335519 0.223039
16OCT12 -0.947756 0.337329 0.223140
16OCT13 -0.947881 0.336710 0.212785
16OCT14 -0.950493 0.337563 0.232872
16OCT15 -0.946859 0.338712 0.223704
16OCT16 -0.947467 0.336843 0.226384
16OCT17 -0.945456 0.334937 0.227440
16OCT18 -0.945218 0.335438 0.223002
16OCT19 -0.945000 0.336996 0.229492
16OCT20 -0.947260 0.337368 0.229747
16OCT21 -0.943275 0.339150 0.224288
16OCT22 -0.944263 0.337267 0.229234
16OCT23 -0.942892 0.340399 0.224554
16OCT24 -0.942589 0.339801 0.211850
16OCT25 -0.947044 0.339326 0.223665
16OCT27 -0.947073 0.338346 0.236360
16OCT28 -0.946943 0.337781 0.226747
16OCT29 -0.947318 0.339121 0.217363
16OCT30 -0.948783 0.338268 0.230948
16OCT31 -0.947866 0.339087 0.228416
16NOV01 -0.945759 0.338146 0.218008
16NOV02 -0.951565 0.337303 0.219311
16NOV03 -0.941183 0.336538 0.228114
16NOV04 -0.945996 0.337487 0.230169
16NOV05 -0.944055 0.335879 0.227439
16NOV06 -0.947216 0.338019 0.215600
16NOV07 -0.946326 0.336609 0.224826
16NOV08 -0.946622 0.338791 0.213313
16NOV09 -0.946284 0.338177 0.221340
16NOV10 -0.946059 0.335403 0.215893
16NOV11 -0.942843 0.339458 0.221921
16NOV12 -0.945148 0.342906 0.220326
16NOV13 -0.942743 0.337720 0.216381
16NOV14 -0.941474 0.336230 0.222921
16NOV15 -0.950719 0.338959 0.215108
16NOV16 -0.947880 0.338908 0.225156
16NOV17 -0.946246 0.337140 0.221012
16NOV18 -0.947759 0.338140 0.230453
16NOV19 -0.945520 0.337392 0.221699
16NOV20 -0.946407 0.338951 0.227010
16NOV21 -0.948826 0.339727 0.226361
16NOV22 -0.946323 0.338709 0.235238
16NOV23 -0.947250 0.338171 0.226043
16NOV24 -0.949534 0.338346 0.230611
16NOV25 -0.940801 0.340088 0.217440
16NOV26 -0.946102 0.338339 0.226281
16NOV27 -0.946571 0.340259 0.220213
16NOV28 -0.948960 0.337990 0.231853
16NOV29 -0.945589 0.337640 0.223855
16NOV30 -0.941651 0.339988 0.225022
16DEC01 -0.947799 0.339468 0.221868
16DEC02 -0.937357 0.336421 0.228086
16DEC03 -0.935426 0.333322 0.228064
16DEC04 -0.946576 0.337488 0.225592
16DEC05 -0.946845 0.338490 0.224166
16DEC06 -0.947986 0.339409 0.226148
16DEC07 -0.946601 0.340132 0.224366
16DEC08 -0.948308 0.338703 0.227477
16DEC09 -0.950516 0.340898 0.224700
16DEC10 -0.949295 0.339105 0.223202
16DEC11 -0.949832 0.337464 0.224599
16DEC12 -0.945870 0.341227 0.228537
16DEC13 -0.947884 0.338600 0.224937
16DEC14 -0.944997 0.336835 0.229220
16DEC15 -0.946882 0.338470 0.228175
16DEC16 -0.946473 0.337698 0.228643
16DEC17 -0.937229 0.339824 0.221131
16DEC18 -0.944560 0.339524 0.231855
16DEC19 -0.946678 0.337850 0.221676
16DEC20 -0.945349 0.338307 0.220817
16DEC21 -0.947216 0.341232 0.220054
16DEC23 -0.948747 0.340526 0.212396
16DEC24 -0.951277 0.339149 0.221369
16DEC25 -0.947165 0.338856 0.215135
16DEC26 -0.950091 0.342029 0.214582
16DEC27 -0.948046 0.338941 0.223329
16DEC28 -0.947107 0.338936 0.224556
16DEC29 -0.945371 0.337196 0.235782
16DEC30 -0.946616 0.335050 0.229513
16DEC31 -0.951295 0.335940 0.232376
17JAN01 -0.946256 0.337817 0.230550
17JAN02 -0.941099 0.337456 0.229980
17JAN03 -0.943920 0.338123 0.225320
17JAN04 -0.946131 0.338808 0.227560
17JAN05 -0.945728 0.335392 0.229592
17JAN06 -0.949877 0.342178 0.247559
17JAN07 -0.948431 0.340847 0.233817
17JAN08 -0.948642 0.337933 0.223639
17JAN09 -0.947290 0.336717 0.224426
17JAN10 -0.946327 0.338307 0.228484
17JAN11 -0.947691 0.338773 0.225960
17JAN12 -0.947856 0.337114 0.221007
17JAN13 -0.952431 0.339967 0.227791
17JAN14 -0.944956 0.336602 0.221722
17JAN15 -0.947328 0.338012 0.218678
17JAN16 -0.945322 0.337825 0.224125
17JAN17 -0.945360 0.338731 0.235223
17JAN18 -0.945176 0.339487 0.235668
17JAN19 -0.945956 0.339175 0.233326
17JAN20 -0.946591 0.337081 0.236334
17JAN21 -0.946748 0.338364 0.233554
17JAN22 -0.942650 0.336498 0.227628
17JAN23 -0.944653 0.338938 0.220265
17JAN24 -0.944292 0.335941 0.220137
17JAN25 -0.943729 0.338015 0.227366
17JAN26 -0.938591 0.339674 0.218166
17JAN27 -0.944948 0.337858 0.223521
17JAN28 -0.946173 0.338763 0.227976
17JAN29 -0.945393 0.339054 0.230569
17JAN30 -0.946647 0.338061 0.233236
17JAN31 -0.946626 0.337647 0.233653
17FEB01 -0.945201 0.338742 0.234669
17FEB02 -0.949641 0.338669 0.231358
17FEB03 -0.946436 0.338408 0.225243
17FEB04 -0.948431 0.339661 0.228988
17FEB05 -0.944294 0.339853 0.222140
17FEB06 -0.945375 0.336064 0.237023
17FEB07 -0.946954 0.339337 0.233123
17FEB08 -0.947256 0.339104 0.223105
17FEB09 -0.948201 0.339162 0.227608
17FEB10 -0.947918 0.340355 0.230779
17FEB11 -0.936105 0.339663 0.227785
17FEB12 -0.935756 0.334281 0.238143
17FEB13 -0.942600 0.337703 0.233845
17FEB14 -0.943038 0.337268 0.239679
17FEB15 -0.946259 0.338037 0.216510
17FEB16 -0.947537 0.338315 0.225333
17FEB17 -0.948413 0.338955 0.222818
17FEB18 -0.944905 0.338642 0.220777
17FEB19 -0.946877 0.337876 0.228037
17FEB20 -0.942110 0.338407 0.214900
17FEB21 -0.947153 0.336714 0.224968
17FEB22 -0.944403 0.337050 0.231562
17FEB23 -0.947841 0.338137 0.231472
17FEB24 -0.943537 0.336936 0.217582
17FEB25 -0.944995 0.337013 0.217701
17FEB26 -0.946793 0.339331 0.226875
17FEB27 -0.944979 0.337009 0.221974
17FEB28 -0.943860 0.337639 0.213842
17MAR01 -0.945632 0.337783 0.227841
17MAR02 -0.944996 0.340427 0.223759
17MAR03 -0.943479 0.336176 0.225498
17MAR04 -0.949591 0.337077 0.229185
17MAR05 -0.943614 0.338887 0.225906
17MAR06 -0.947576 0.340830 0.229192
17MAR07 -0.946377 0.338080 0.226730
17MAR08 -0.946951 0.338149 0.228828
17MAR09 -0.947251 0.337564 0.230474
17MAR10 -0.945860 0.340212 0.231285
17MAR11 -0.948488 0.340675 0.226874
17MAR12 -0.950359 0.340011 0.221883
17MAR13 -0.947733 0.339792 0.213577
17MAR14 -0.941881 0.338853 0.230231
17MAR15 -0.946944 0.339082 0.238658
17MAR16 -0.946470 0.337971 0.234941
17MAR17 -0.948409 0.338101 0.234580
17MAR18 -0.947215 0.337808 0.223855
17MAR19 -0.942636 0.338447 0.230094
17MAR20 -0.944336 0.335135 0.219136
17MAR21 -0.946995 0.336368 0.232989
17MAR22 -0.944633 0.336545 0.221633
17MAR23 -0.942141 0.336626 0.223236
17MAR24 -0.944379 0.336369 0.226421
17MAR25 -0.947794 0.337530 0.231785
17MAR26 -0.946158 0.339530 0.228288
17MAR27 -0.946042 0.336913 0.233405
17MAR28 -0.945321 0.334328 0.227738
17MAR29 -0.946848 0.334937 0.233493
17MAR30 -0.945725 0.336935 0.231877
17MAR31 -0.945895 0.338105 0.225057
17APR01 -0.946769 0.337087 0.226017
17APR02 -0.947653 0.336361 0.225777
17APR03 -0.945116 0.335911 0.224857
17APR04 -0.944393 0.337064 0.229055
17APR05 -0.945899 0.336191 0.232270
17APR06 -0.948127 0.337229 0.232430
17APR07 -0.948178 0.337649 0.232041
17APR08 -0.946616 0.337155 0.230154
17APR09 -0.948709 0.338125 0.223649
17APR10 -0.945325 0.337696 0.220417
17APR11 -0.948482 0.338582 0.229292
17APR12 -0.946088 0.337886 0.231942
17APR13 -0.948923 0.336988 0.231359
17APR14 -0.947156 0.337222 0.229186
17APR15 -0.947386 0.337228 0.223225
17APR16 -0.950089 0.335447 0.229187
17APR17 -0.948204 0.336297 0.234229
17APR18 -0.949605 0.335729 0.233750
17APR19 -0.951346 0.335604 0.239560
17APR20 -0.949571 0.336892 0.230958
17APR21 -0.950341 0.336197 0.227363
17APR22 -0.947534 0.336926 0.238343
17APR23 -0.949341 0.337220 0.228312
17APR24 -0.946570 0.336490 0.238899
17APR25 -0.948847 0.335696 0.233654
17APR26 -0.941979 0.337041 0.238011
17APR27 -0.934995 0.337330 0.227144
17APR28 -0.941481 0.335270 0.231789
17APR29 -0.949819 0.339087 0.234783
17APR30 -0.945882 0.337776 0.233474
17MAY01 -0.945637 0.337172 0.231070
17MAY02 -0.947841 0.336765 0.225953
17MAY03 -0.944902 0.335788 0.222523
17MAY04 -0.944209 0.338855 0.224807
17MAY05 -0.950458 0.333364 0.232321
17MAY06 -0.950006 0.336760 0.231085
17MAY07 -0.947969 0.337005 0.226391
17MAY08 -0.947044 0.335904 0.234217
17MAY09 -0.942985 0.338536 0.228015
17MAY10 -0.940749 0.336676 0.214164
17MAY11 -0.939164 0.336583 0.218793
17MAY12 -0.944703 0.336408 0.229100
17MAY13 -0.947093 0.336436 0.232109
17MAY14 -0.945586 0.335811 0.230261
17MAY15 -0.945971 0.335512 0.223454
17MAY16 -0.945005 0.335349 0.227136
17MAY17 -0.949729 0.337288 0.224803
17MAY18 -0.947002 0.340001 0.224938
17MAY19 -0.948828 0.335228 0.239677
17MAY20 -0.949049 0.338418 0.230587
17MAY21 -0.949747 0.336153 0.241751
17MAY22 -0.947466 0.334887 0.233378
17MAY23 -0.946964 0.336194 0.225954
17MAY24 -0.948988 0.336933 0.236355
17MAY25 -0.948506 0.336723 0.229362
17MAY26 -0.945877 0.338101 0.229490
17MAY27 -0.950092 0.336676 0.232318
17MAY28 -0.948584 0.335906 0.221096
17MAY29 -0.947062 0.336279 0.238577
17MAY30 -0.949447 0.333190 0.224237
17MAY31 -0.949359 0.334382 0.227908
17JUN01 -0.948004 0.335822 0.241227
17JUN02 -0.949267 0.334871 0.232343
17JUN03 -0.950403 0.336485 0.236703
17JUN04 -0.949013 0.334162 0.238768
17JUN05 -0.949112 0.333559 0.228120
17JUN06 -0.949801 0.339488 0.230712
17JUN07 -0.946272 0.335345 0.236370
17JUN08 -0.947291 0.336627 0.243397
17JUN09 -0.948374 0.335336 0.223825
17JUN10 -0.948634 0.335261 0.232608
17JUN11 -0.947419 0.335911 0.231453
17JUN12 -0.949205 0.336044 0.230323
17JUN13 -0.950249 0.335780 0.233223
17JUN14 -0.947920 0.336118 0.231746
17JUN15 -0.950751 0.334320 0.235321
17JUN16 -0.950743 0.336372 0.233228
17JUN17 -0.951161 0.336750 0.231800
17JUN18 -0.950364 0.336479 0.236813
17JUN19 -0.949139 0.336378 0.227725
17JUN20 -0.948968 0.334464 0.227323
17JUN21 -0.947654 0.335069 0.233762
17JUN22 -0.949880 0.335123 0.228129
17JUN23 -0.949963 0.334537 0.227418
17JUN24 -0.951955 0.333416 0.229670
17JUN25 -0.952295 0.333560 0.233089
17JUN26 -0.951184 0.333529 0.226828
17JUN27 -0.949487 0.333624 0.233443
17JUN28 -0.947599 0.334329 0.236380
17JUN29 -0.947801 0.331822 0.245416
17JUN30 -0.944685 0.333161 0.218162
17JUL01 -0.949636 0.332753 0.213116
17JUL02 -0.949940 0.332245 0.231529
17JUL03 -0.949148 0.332977 0.218604
17JUL04 -0.947112 0.334651 0.232936
17JUL05 -0.950224 0.333837 0.231977
17JUL06 -0.949639 0.333361 0.221051
17JUL07 -0.947133 0.333451 0.227159
17JUL08 -0.950899 0.331109 0.234320
17JUL09 -0.949352 0.332917 0.230809
17JUL10 -0.948519 0.331845 0.235345
17JUL11 -0.948819 0.332079 0.224955
17JUL12 -0.947780 0.334136 0.223586
17JUL13 -0.949112 0.335601 0.220791
17JUL14 -0.948146 0.335808 0.223478
17JUL15 -0.949335 0.336532 0.231590
17JUL16 -0.950609 0.333369 0.234672
17JUL17 -0.950173 0.334680 0.232405
17JUL18 -0.947834 0.334886 0.229151
17JUL19 -0.945866 0.334644 0.222890
17JUL20 -0.946486 0.333344 0.230526
17JUL21 -0.948081 0.333439 0.226570
17JUL22 -0.945028 0.334712 0.233358
17JUL23 -0.947529 0.333625 0.225804
17JUL24 -0.951077 0.334295 0.237916
17JUL25 -0.948962 0.335710 0.229856
17JUL26 -0.949001 0.333799 0.229765
17JUL27 -0.949352 0.333288 0.225525
17JUL28 -0.948374 0.335097 0.228014
17JUL29 -0.949127 0.334906 0.222738
17JUL30 -0.948548 0.335702 0.215597
17JUL31 -0.947138 0.334526 0.234390
17AUG01 -0.948306 0.334051 0.226432
17AUG02 -0.946981 0.335054 0.224607
17AUG03 -0.945412 0.331384 0.222747
17AUG04 -0.947180 0.334583 0.224889
17AUG05 -0.948934 0.335544 0.221395
17AUG06 -0.948056 0.334356 0.228415
17AUG07 -0.948531 0.335050 0.217497
17AUG08 -0.949566 0.333696 0.227035
17AUG09 -0.949442 0.334757 0.219523
17AUG10 -0.948247 0.335336 0.219792
17AUG11 -0.946850 0.333417 0.231655
17AUG12 -0.943126 0.333937 0.229263
17AUG13 -0.948911 0.334920 0.230944
17AUG14 -0.948956 0.336224 0.227749
17AUG15 -0.948513 0.334306 0.215240
17AUG16 -0.945694 0.334520 0.219374
17AUG17 -0.949472 0.333880 0.221131
17AUG18 -0.948965 0.332396 0.228597
17AUG19 -0.945847 0.335366 0.217240
17AUG20 -0.948338 0.334600 0.216435
17AUG21 -0.947130 0.332030 0.222508
17AUG22 -0.947131 0.334505 0.227885
17AUG23 -0.946749 0.331577 0.223189
17AUG24 -0.948175 0.333898 0.225850
17AUG25 -0.949738 0.334584 0.224988
17AUG26 -0.947856 0.331991 0.220333
17AUG27 -0.948505 0.334705 0.221533
17AUG28 -0.948069 0.336669 0.218701
17AUG29 -0.945051 0.333978 0.233564
17AUG30 -0.946532 0.334650 0.218657
17AUG31 -0.949054 0.337216 0.222247
17SEP01 -0.948302 0.335071 0.213049
17SEP02 -0.947169 0.331687 0.215560
17SEP03 -0.948738 0.334894 0.224237
17SEP04 -0.947036 0.332520 0.226851
17SEP05 -0.944339 0.334633 0.224916
17SEP06 -0.946529 0.335430 0.243269
17SEP07 -0.944902 0.336255 0.217438
17SEP08 -0.945928 0.335823 0.226509
17SEP09 -0.947840 0.333361 0.226238
17SEP10 -0.946989 0.334723 0.226022
17SEP11 -0.948788 0.335025 0.224662
17SEP12 -0.945038 0.333371 0.227750
17SEP13 -0.948319 0.335042 0.224383
17SEP14 -0.947721 0.334125 0.217814
17SEP15 -0.948463 0.333646 0.223016
17SEP16 -0.948192 0.334918 0.225959
17SEP17 -0.945519 0.335081 0.220889
17SEP18 -0.947086 0.336198 0.220847
17SEP19 -0.949800 0.335783 0.224824
17SEP20 -0.947868 0.334436 0.224163
17SEP21 -0.945645 0.334633 0.240262
17SEP22 -0.944482 0.333132 0.219743
17SEP23 -0.948681 0.334853 0.222961
17SEP24 -0.949365 0.334343 0.229980
17SEP25 -0.950152 0.335176 0.230645
17SEP26 -0.947221 0.335927 0.227979
