YYMMMDD __east(m) _north(m) ____up(m)
11APR29 0.339356 0.561676 0.186684
11APR30 0.354362 0.557954 0.204320
11MAY01 0.348359 0.561636 0.221944
11MAY02 0.351970 0.561671 0.209976
11MAY03 0.352902 0.561325 0.218612
11MAY04 0.352423 0.560369 0.219723
11MAY05 0.353129 0.560427 0.226627
11MAY06 0.352398 0.558360 0.224729
11MAY07 0.352711 0.559484 0.227867
11MAY08 0.353685 0.558297 0.224053
11MAY09 0.352605 0.558346 0.225865
11MAY10 0.353421 0.559533 0.220404
11MAY11 0.352972 0.560647 0.224052
11MAY12 0.351685 0.560477 0.229172
11MAY13 0.351344 0.560094 0.222174
11MAY14 0.353048 0.560981 0.224307
11MAY15 0.353603 0.560279 0.219809
11MAY16 0.355112 0.561204 0.220037
11MAY17 0.352532 0.560546 0.221906
11MAY18 0.352104 0.558432 0.223751
11MAY19 0.352664 0.558195 0.229954
11MAY20 0.352250 0.557834 0.228340
11MAY21 0.354516 0.559493 0.226915
11MAY22 0.354052 0.557432 0.227554
11MAY23 0.354099 0.558181 0.222339
11MAY24 0.353964 0.560502 0.224917
11MAY25 0.352428 0.559406 0.218389
11MAY26 0.360106 0.555931 0.206739
11MAY27 0.352816 0.558777 0.222002
11MAY28 0.352852 0.557807 0.215432
11MAY29 0.352836 0.559294 0.219014
11MAY30 0.351707 0.558865 0.220065
11MAY31 0.352369 0.558157 0.232139
11JUN01 0.351911 0.558812 0.228967
11JUN02 0.351532 0.559063 0.216898
11JUN03 0.347520 0.557154 0.219556
11JUN04 0.351198 0.556347 0.226398
11JUN05 0.352481 0.559030 0.225615
11JUN06 0.350796 0.559565 0.221707
11JUN07 0.351663 0.558016 0.224706
11JUN08 0.351724 0.557005 0.223949
11JUN09 0.352386 0.557885 0.215428
11JUN10 0.351125 0.557639 0.225058
11JUN11 0.351681 0.560101 0.218368
11JUN12 0.351851 0.558971 0.220522
11JUN13 0.351874 0.558963 0.225347
11JUN14 0.351080 0.559821 0.227475
11JUN15 0.351757 0.560858 0.219477
11JUN16 0.352927 0.559819 0.224233
11JUN17 0.353431 0.559197 0.220698
11JUN18 0.352481 0.556932 0.221152
11JUN19 0.352103 0.559768 0.215804
11JUN20 0.350174 0.561092 0.207132
11JUN21 0.353303 0.559460 0.215148
11JUN22 0.352741 0.560614 0.219397
11JUN23 0.350795 0.559800 0.217783
11JUN24 0.354889 0.560828 0.222790
11JUN25 0.352204 0.561176 0.215179
11JUN26 0.351860 0.558946 0.215747
11JUN27 0.351932 0.561681 0.211292
11JUN28 0.352878 0.559408 0.222348
11JUN29 0.352440 0.558936 0.219373
11JUN30 0.351611 0.558403 0.216745
11JUL01 0.352023 0.559890 0.213151
11JUL02 0.351110 0.559458 0.214680
11JUL03 0.350573 0.558680 0.224239
11JUL04 0.352645 0.557545 0.223683
11JUL05 0.352688 0.556663 0.226573
11JUL06 0.352774 0.557344 0.221725
11JUL07 0.353199 0.558538 0.221895
11JUL08 0.351178 0.556139 0.221219
11JUL09 0.350777 0.558609 0.222156
11JUL10 0.351131 0.556914 0.223076
11JUL11 0.351504 0.557099 0.219217
11JUL12 0.352448 0.556804 0.223984
11JUL13 0.350952 0.557303 0.221128
11JUL14 0.352091 0.557527 0.220907
11JUL15 0.352673 0.557862 0.226984
11JUL16 0.350528 0.557150 0.221681
11JUL17 0.351639 0.557931 0.221163
11JUL18 0.350855 0.557874 0.215107
11JUL19 0.351731 0.555060 0.221852
11JUL20 0.351419 0.555062 0.216899
11JUL21 0.349572 0.556280 0.220506
11JUL22 0.350576 0.557554 0.222270
11JUL23 0.351521 0.557587 0.221248
11JUL24 0.349531 0.556752 0.222107
11JUL25 0.350494 0.557566 0.223082
11JUL26 0.351594 0.556791 0.219346
11JUL27 0.350366 0.556187 0.221967
11JUL28 0.350256 0.556574 0.219920
11JUL29 0.349502 0.556806 0.211621
11JUL30 0.349429 0.557132 0.215756
11JUL31 0.349545 0.557717 0.219776
11AUG01 0.351577 0.556451 0.221861
11AUG02 0.352319 0.556752 0.227317
11AUG03 0.353252 0.556156 0.217598
11AUG04 0.351243 0.554720 0.221269
11AUG05 0.349986 0.555829 0.223608
11AUG06 0.349839 0.555409 0.218452
11AUG07 0.352127 0.555827 0.220332
11AUG08 0.351134 0.560924 0.217665
11AUG09 0.352566 0.558924 0.219510
11AUG10 0.352462 0.560110 0.214917
11AUG11 0.350032 0.561201 0.213451
11AUG12 0.353105 0.557716 0.219540
11AUG13 0.351998 0.554531 0.228879
11AUG14 0.352304 0.555699 0.221495
11AUG15 0.351102 0.558006 0.222713
11AUG16 0.350228 0.556832 0.215896
11AUG17 0.351371 0.558345 0.220611
11AUG18 0.350995 0.557218 0.219368
11AUG19 0.352302 0.557804 0.217559
11AUG20 0.351940 0.557546 0.221330
11AUG21 0.352842 0.557974 0.222096
11AUG22 0.352149 0.557545 0.216937
11AUG23 0.353458 0.555310 0.219210
11AUG24 0.352636 0.556033 0.216916
11NOV11 0.353913 0.560063 0.194171
11NOV12 0.356955 0.557159 0.207841
11NOV13 0.355106 0.557939 0.205103
11NOV14 0.358607 0.556392 0.207124
11NOV15 0.353777 0.556377 0.220165
